Model,Scenario,Variable,Short Name,Unit,Region,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Sodium-Based Battery Storage,Sodium-Based Battery Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,6000,8400,10400,10400,28000,30000,33200,34200,76700,79500,96500,97082,106540,113275,146913,165403,215769,216569,216569,216599,,,
Technology Indicators,Release 2023.1,Annual Production|Aluminium Refining,Aluminium Refining,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19300000,19700000,19500000,19800000,19200000,19700000,20800000,21700000,22600000,23600000,24300000,24300000,26100000,28000000,29900000,31900000,33900000,37900000,39700000,37300000,41200000,44400000,45900000,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Cadmium Refining,Cadmium Refining,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200,20900,19800,18400,18200,20100,18900,20300,20200,20000,20300,20000,17800,18400,18600,20100,19900,18700,21600,20300,22700,20400,20900,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Copper Refining,Copper Refining,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800000,10700000,11200000,11300000,11200000,11900000,12700000,13500000,14100000,14600000,14900000,15700000,15600000,15300000,15900000,16600000,17300000,17900000,18300000,18300000,19100000,19700000,,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Copper Mines,Copper Mines,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8950000,9090000,9470000,9430000,9490000,10000000,11000000,11500000,12100000,12800000,13300000,13700000,13600000,13800000,14700000,15000000,15100000,15500000,15600000,16000000,16100000,16100000,,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Iron Ore,Iron Ore,Metric Tons (gross weight),World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95500000,116000000,100000000,135000000,109000000,126000000,142000000,133000000,151000000,177000000,118000000,116000000,139000000,142000000,127000000,110000000,124000000,73000000,104000000,136000000,130000000,151000000,155000000,171000000,174000000,201000000,179000000,119000000,76200000,91200000,120000000,138000000,170000000,212000000,162000000,200000000,212000000,233000000,235000000,227000000,199000000,159000000,154000000,184000000,211000000,223000000,250000000,294000000,298000000,331000000,301000000,364000000,389000000,423000000,397000000,432000000,514000000,495000000,499000000,510000000,573000000,611000000,626000000,616000000,668000000,701000000,757000000,767000000,757000000,832000000,881000000,888000000,886000000,844000000,833000000,898000000,884000000,843000000,783000000,728000000,823000000,845000000,855000000,869000000,967000000,999000000,982000000,956000000,930000000,953000000,982000000,1020000000,1020000000,1040000000,1050000000,1020000000,969000000,937000000,982000000,1080000000,1200000000,1320000000,1470000000,1680000000,1730000000,1710000000,1870000000,2030000000,2070000000,2230000000,2370000000,2370000000,2370000000,2440000000,2460000000,,,,
Technology Indicators,Release 2023.1,Annual Production|Raw Steel,Raw Steel,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771000000,737000000,724000000,730000000,730000000,752000000,751000000,797000000,774000000,790000000,850000000,853000000,907000000,974000000,1060000000,1140000000,1250000000,1350000000,1330000000,1240000000,1440000000,1520000000,,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Lead Mines,Lead Mines,Metric Tons of lead content,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370000,3330000,3060000,2680000,2790000,2830000,3090000,3100000,3060000,3060000,3170000,3050000,2870000,3200000,3150000,3470000,3630000,3710000,3880000,3850000,4150000,4730000,5170000,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Salt Production,Salt Production,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183000000,191000000,183000000,187000000,192000000,199000000,204000000,221000000,200000000,207000000,195000000,214000000,214000000,225000000,235000000,249000000,261000000,253000000,260000000,264000000,269000000,272000000,261000000,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Copper Primary Production,Copper Primary Production,Metric Tons,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291000,302000,317000,331000,404000,426000,489000,468000,516000,631000,645000,650000,711000,733000,696000,741000,1030000,1100000,1100000,803000,692000,431000,569000,898000,1030000,1000000,1050000,1060000,1130000,1240000,978000,681000,309000,336000,404000,534000,746000,968000,719000,916000,1190000,1270000,1280000,1250000,1110000,1010000,797000,1050000,1010000,842000,1130000,1100000,1070000,1170000,1100000,1220000,1310000,1320000,1230000,996000,1380000,1410000,1460000,1450000,1500000,1550000,1550000,1030000,1300000,1580000,1600000,1440000,1700000,1700000,1500000,1310000,1400000,1360000,1450000,1520000,1220000,1540000,1230000,1210000,1170000,1060000,1070000,1130000,1410000,1480000,1580000,1580000,1710000,1790000,1840000,1930000,2010000,2070000,2140000,1890000,1580000,1630000,1440000,1250000,1260000,1210000,1210000,1270000,1220000,1110000,1060000,992000,962000,993000,1050000,1090000,1180000,1040000,,,,,
Technology Indicators,Release 2023.1,Annual Production|Nickel Production,Nickel Production,Metric Tons,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,52,11,0,0,0,0,309,0,403.7,297.56,218.63,383.74,745.71,832.8,364.69,400.07,464,331,100.7,188.69,90.72,173.27,246.75,293.02,780.18,473.55,308.44,279.41,338.38,176.9,114.31,142.43,145.15,97.07,198.67,377.39,357.43,502.58,598.55,555,582.41,896.31,1050,319.33,586.04,801.04,716.68,828.26,686,574,546,754,3450,6100,9140,10700,10500,13000,10100,10200,10400,11100,12300,12000,13200,13800,14300,14100,14200,14300,12600,12800,13000,12600,11700,10200,10600,10200,9350,3140,0,8710,4730,1500,0,0,347,3700,7070,8960,4880,0,8290,15100,16000,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,27200,24100,22100,,,,,
Technology Indicators,Release 2023.1,Cumulative Number|Satellite Launches,Satellite Launches,Number of Orbital Launches,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,55,95,149,233,303,407,539,678,821,952,1077,1201,1335,1448,1564,1677,1809,1941,2071,2199,2309,2417,2543,2672,2801,2930,3055,3165,3279,3400,3502,3623,3714,3811,3894,3987,4067,4144,4233,4315,4393,4478,4537,4602,4665,4720,4776,4842,4910,4979,5057,5131,5215,5293,5375,5467,5554,5639,5730,5844,5939,,,
Technology Indicators,Release 2023.1,Annual Production|Shale Oil,Shale Oil,Billion cubic feet,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,3409,6519,11855,19849,30220,41635,55082,70295,87327,105916,127970,153526,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Wet Flue Gas Desulfurization Systems,Wet Flue Gas Desulfurization Systems,GWe,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.51,2.51,4.51,7.02,12.53,18.05,23.56,30.08,35.59,42.11,50.63,54.14,62.16,71.68,84.71,105.26,109.77,111.78,116.29,121.8,131.33,142.36,160.4,177.94,189.47,193.98,197.49,,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Aquaculture Production,Aquaculture Production,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029179,1948048,2014404,2247676,2402677,2604353,2791746,2915674,3092313,3238166,3526017,3930472,4280803,4504942,4941524,5219603,5408491,6282015,6593363,6714748,7347225,7818586,8213439,9089265,10191481.45,11354348.65,12670909.1,13971504.23,15531104.96,16486351.07,16850459.04,18305028.6,21211488.89,24467925.05,27798479.01,31232256.19,33790684.14,34296276.7,36463874.11,39604752.61,41724569.75,44324822.72,47375084.71,50271407.72,54570314.09,57820199.22,61591980.13,64937295.56,68799079.9,73045256.33,78020019.87,82635398.2,90020572.65,97110166.78,101084799.1,106004183.8,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Capture Fisheries,Capture Fisheries,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34790180,38630192,42035680,42996372,47586828,48653612,52568636,56020668,59336232,57903208,63886816,63917908,59670600,60227296,63470416,62941132,66328024,65083616,67115744,67583584,68257272,70308776,72121096,71946272,77654920,79380104,84935064,85595384,89066600,89603184,86024296,84921536,86415584,87749048,93361400,93696568,95159584,94464032,86874552,92812112,94763864,91957968,92313232,89559024,94176616,93697960,91237776,91558656,90694760,90266896,88855992,93180832,90512336,91753928,92360624,93736944,,,,,,,
Technology Indicators,Release 2023.1,Annual Production|Cement Production,Cement Production,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62400000,67800000,72200000,74900000,72300000,62100000,49300000,48200000,58300000,65400000,62800000,82700000,85900000,93000000,81000000,88000000,80900000,71200000,54900000,49500000,72500000,85800000,102000000,115000000,133000000,149000000,161000000,178000000,194900000,217300000,235400000,246900000,262500000,294300000,316500000,333200000,358500000,378000000,415600000,433400000,464200000,479800000,515200000,543100000,571800000,590000000,661000000,702000000,703200000,702200000,735400000,797100000,853000000,872400000,883100000,886700000,887400000,916600000,941100000,959400000,1008000000,1053000000,1118000000,1149000000,1160000000,1182000000,1231000000,1291000000,1370000000,1445000000,1493000000,1547000000,1540000000,1600000000,1660000000,1750000000,1850000000,2020000000,2190000000,2350000000,2620000000,2810000000,2850000000,3050000000,3290000000,3630000000,3820000000,4030000000,4150000000,4070000000,4150000000,4100000000,,,,,
Technology Indicators,Release 2023.1,Annual Production|Construction|Sand and Gravel Construction,Sand and Gravel Construction,Metric Tons,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452000,747000,5280000,16400000,24400000,32100000,30000000,49000000,56900000,53700000,53800000,65100000,65500000,61800000,71800000,60400000,47000000,56300000,64800000,67300000,78100000,117000000,132000000,145000000,155000000,169000000,179000000,190000000,171000000,134000000,105000000,93000000,100000000,106000000,153000000,162000000,159000000,197000000,207000000,249000000,262000000,197000000,161000000,163000000,216000000,245000000,274000000,277000000,320000000,346000000,379000000,383000000,490000000,519000000,548000000,556000000,607000000,645000000,627000000,666000000,686000000,726000000,767000000,801000000,824000000,800000000,808000000,824000000,830000000,811000000,803000000,866000000,803000000,691000000,776000000,815000000,874000000,858000000,692000000,626000000,539000000,594000000,702000000,726000000,801000000,813000000,838000000,814000000,829000000,708000000,834000000,869000000,891000000,907000000,914000000,952000000,1070000000,1110000000,1120000000,1130000000,1130000000,1160000000,1240000000,1280000000,1340000000,1250000000,1060000000,839000000,807000000,806000000,815000000,823000000,829000000,880000000,887000000,880000000,,,,,
Technology Indicators,Release 2023.1,Annual Production|Industrial|Sand and Gravel Industrial,Sand and Gravel Industrial,Metric Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000000,113000000,113000000,120000000,118000000,110000000,111000000,112000000,104000000,117000000,121000000,96000000,94600000,93900000,111000000,114000000,114000000,113000000,115000000,119000000,113000000,116000000,129000000,118000000,111000000,113000000,126000000,146000000,231000000,373000000,329000000,290000000,318000000,335000000,,,,
Technology Indicators,Release 2023.1,Annual Production|Liquefied Natural Gas Exports,Liquefied Natural Gas Exports,Billion cubic feet,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.88,50.17,48.6,51.57,51.42,52.55,54.01,52.53,55.99,62.68,65.28,67.65,62.19,65.98,63.88,66.03,66.22,63.84,66.08,62.47,65.37,60.94,48.49,39.22,33.36,64.79,70,28.3,2.92,16.26,28.38,186.84,707.54,1083.12,1819.4,2389.84,3560.82,
Technology Indicators,Release 2023.1,Annual Use|Nitrogen Fertilizer,Nitrogen Fertilizer,Tonnes,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626496.27,5571037.11,6208302.48,7050694.43,8320501.2,9988066.93,10266606.37,11058967.73,12179630.27,13666817.79,14186937.15,14988518.12,16096207.99,15456105.29,18596977.05,18878516.52,21319662.21,24330311.87,26505112.52,28755209.09,27915711.37,27325167.73,29905503.97,32967689.96,31650744.99,31718375.12,34327755.07,37669794.38,38162559.88,39086870.53,40073127.8,43409079.46,41540551.56,42262269.88,47360819.39,49524099.09,47771729.72,48229358.77,49925766.03,46570315.99,47368281.57,49390573.11,50955228.83,51953102.05,53121507.09,55676513.81,56830189.17,56581863.72,58592442.44,60757444.46,62797753.15,62697506.97,62614712.15,62908545.79,63124073,62026945.99,61240287.82,60424734.53,60508660.23,,,
Technology Indicators,Release 2023.1,Annual Use|Phosphate Fertilizer,Phosphate Fertilizer,Tonnes,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545843.81,3843359.43,4311257.67,4780385.19,5385578.33,6108993.3,6116134.64,6184150.64,6612439.31,7087694.19,7393145.18,7763380.78,8375397.02,7579534.11,7774069.42,8405244.25,8866200.09,8704911.68,9537440.05,10130178.99,9990339.99,9722153.8,10672534.4,11262858.7,10084154.41,9979740.95,10955060.74,12470325.56,13073322.46,13449349.99,14944689,15739725.47,13599488.98,15020797.34,16631123.66,16041248.36,18105838.62,18241399.18,18231810.28,17338262.38,17944862.67,18948811.96,18903894.59,20354715.64,21531448.4,22398500.29,20543066.7,20364237,24581894.41,27208345.01,26834332.42,25561164.72,24509586.29,24204635.52,24444417,23968962.95,23740447.7,22798930.87,22617735.93,,,
Technology Indicators,Release 2023.1,Annual Use|Potash Fertilizer,Potash Fertilizer,Tonnes,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3635970.57,3857686.38,4144725.39,4364531.96,4682083.7,4996162.96,5366670.2,5389598.48,5633427.5,5891393.17,6135968.69,6196908.67,6869896.87,6742770.71,6742594.92,7378142.72,7473690.48,7863008.96,8418352.83,8448672.7,8383702.5,7474997.26,7830140.26,8318083.96,7538331.17,7567398.87,8166762.92,8583868.42,8447271.44,8755715.01,9053661.69,9485438.56,8746358.36,9198947.96,9814575.21,9360398.56,10585069.74,10219058.83,10349017.85,10245891.54,10909771.17,11635624.14,12069115.26,13037171.33,14592676.62,13977971.22,16096493.55,12733299.47,13274338.33,15737871.23,16529060.21,16493143.05,16499035.41,18575995.81,19376629,19505042.39,19522394.13,18877425.08,18134807.76,,,
Technology Indicators,Release 2023.1,Total Capacity|Desalination,Desalination,Million cubic meters per day,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3.5,,,,,7,,,,,11,,,,,21.3,,,,,30.2,,,,,50.4,,,,,76,,,,,95.4,,
Technology Indicators,Release 2023.1,Annual Production|Ethanol Production,Ethanol Production,Billion liters,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.62,0.68,0.65,0.62,0.58,0.64,1.39,2.25,2.85,3.68,4.52,6.47,9.52,11.13,13.9,12.68,15.44,14.66,15,14.35,16.14,15.87,15.77,17.39,17.89,17.82,20.37,19.44,18.53,16.84,18.15,20.69,25.09,27.54,30.82,36.25,47.24,62.38,67.5,78.26,75.65,73.52,77.93,82.71,86.3,86.63,88.02,94.11,94.89,85.37,,
